"stage";"countries";"probabilities"
"Round_16";"Netherlands-United States";0,538
"Round_16";"Argentina-Denmark";0,559
"Round_16";"Spain-Morocco";0,603
"Round_16";"Brazil-South Korea";0,648
"Round_16";"Senegal-England";0,422
"Round_16";"Mexico-France";0,469
"Round_16";"Germany-Belgium";0,447
"Round_16";"Switzerland-Portugal";0,462
"Quartal_Final";"Netherlands-Argentina";0,473
"Quartal_Final";"Spain_Brazil";0,467
"Quartal_Final";"England-France";0,49
"Quartal_Final";"Belgium-Portugal";0,55
"Semi_Final";"Argentina-Brazil";0,483
"Semi_Final";"France-Belgium";0,474
"Third_Place";"France-Argentina";0,488
"Final";"Brazil-Belgium";0,507
