"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group A";"Sat Jun 15, 2013";"9:00 PM";"H";"";"Japan";"4-3-3 Attacking";"67.423";"3:0";"Confederations Cup 2013";"Brazil"
"Group A";"Wed Jun 19, 2013";"9:00 PM";"H";"";"Mexico";"4-3-3 Attacking";"50.791";"2:0";"Confederations Cup 2013";"Brazil"
"Group A";"Sat Jun 22, 2013";"9:00 PM";"A";"";"Italy";"4-2-3-1";"48.874";"2:4";"Confederations Cup 2013";"Brazil"
"Semi-Finals";"Wed Jun 26, 2013";"9:00 PM";"H";"";"Uruguay";"4-2-3-1";"55.000";"2:1";"Confederations Cup 2013";"Brazil"
"Final";"Mon Jul 1, 2013";"12:00 AM";"H";"";"Spain";"4-3-3 Attacking";"73.531";"3:0";"Confederations Cup 2013";"Brazil"
"Group A";"Sun Jun 18, 2017";"5:00 PM";"H";"";"Mexico";"4-1-3-2";"34.372";"2:2";"Confederations Cup 2017";"Portugal"
"Group A";"Wed Jun 21, 2017";"5:00 PM";"A";"";"Russia";"4-1-3-2";"42.759";"0:1";"Confederations Cup 2017";"Portugal"
"Group A";"Sat Jun 24, 2017";"5:00 PM";"A";"";"New Zealand";"4-1-3-2";"56.290";"0:4";"Confederations Cup 2017";"Portugal"
"Semi-Finals";"Wed Jun 28, 2017";"8:00 PM";"H";"";"Chile";"4-1-3-2";"40.855";"0:3  on pens";"Confederations Cup 2017";"Portugal"
"Third Place Play-Off";"Sun Jul 2, 2017";"2:00 PM";"H";"";"Mexico";"4-1-3-2";"42.659";"2:1  AET";"Confederations Cup 2017";"Portugal"
"Group B";"Mon Jun 19, 2017";"5:00 PM";"A";"";"Australia";"3-5-2 flat";"28.605";"2:3";"Confederations Cup 2017";"Germany"
"Group B";"Thu Jun 22, 2017";"8:00 PM";"H";"";"Chile";"3-4-2-1";"38.822";"1:1";"Confederations Cup 2017";"Germany"
"Group B";"Sun Jun 25, 2017";"5:00 PM";"H";"";"Cameroon";"3-4-2-1";"30.230";"3:1";"Confederations Cup 2017";"Germany"
"Semi-Finals";"Thu Jun 29, 2017";"8:00 PM";"H";"";"Mexico";"3-4-1-2";"37.923";"4:1";"Confederations Cup 2017";"Germany"
"Final";"Sun Jul 2, 2017";"8:00 PM";"A";"";"Chile";"3-4-2-1";"57.268";"0:1";"Confederations Cup 2017";"Germany"
"Group B";"Mon Jun 17, 2013";"12:00 AM";"H";"";"Uruguay";"4-3-3 Attacking";"41.705";"2:1";"Confederations Cup 2013";"Spain"
"Group B";"Thu Jun 20, 2013";"9:00 PM";"H";"";"Tahiti";"4-3-3 Attacking";"71.806";"10:0";"Confederations Cup 2013";"Spain"
"Group B";"Sun Jun 23, 2013";"9:00 PM";"A";"";"Nigeria";"4-3-3 Attacking";"51.263";"0:3";"Confederations Cup 2013";"Spain"
"Semi-Finals";"Thu Jun 27, 2013";"9:00 PM";"H";"";"Italy";"4-3-3 Attacking";"56.083";"7:6  on pens";"Confederations Cup 2013";"Spain"
"Final";"Mon Jul 1, 2013";"12:00 AM";"A";"";"Brazil";"4-3-3 Attacking";"73.531";"3:0";"Confederations Cup 2013";"Spain"
"Group B";"Mon Jun 17, 2013";"12:00 AM";"A";"";"Spain";"4-4-2 double 6";"41.705";"2:1";"Confederations Cup 2013";"Uruguay"
"Group B";"Fri Jun 21, 2013";"12:00 AM";"A";"";"Nigeria";"4-3-1-2";"50.000";"1:2";"Confederations Cup 2013";"Uruguay"
"Group B";"Sun Jun 23, 2013";"9:00 PM";"H";"";"Tahiti";"4-3-2-1";"22.047";"8:0";"Confederations Cup 2013";"Uruguay"
"Semi-Finals";"Wed Jun 26, 2013";"9:00 PM";"A";"";"Brazil";"4-3-1-2";"55.000";"2:1";"Confederations Cup 2013";"Uruguay"
"Third Place Play-Off";"Sun Jun 30, 2013";"6:00 PM";"H";"";"Italy";"4-3-1-2";"43.382";"4:5  on pens";"Confederations Cup 2013";"Uruguay"
"Group B";"Mon Jun 17, 2013";"9:00 PM";"A";"";"Tahiti";"4-3-3 Defending";"20.187";"1:6";"Confederations Cup 2013";"Nigeria"
"Group B";"Fri Jun 21, 2013";"12:00 AM";"H";"";"Uruguay";"4-3-3 Defending";"50.000";"1:2";"Confederations Cup 2013";"Nigeria"
"Group B";"Sun Jun 23, 2013";"9:00 PM";"H";"";"Spain";"4-3-3 Attacking";"51.263";"0:3";"Confederations Cup 2013";"Nigeria"
"Group A";"Sun Jun 16, 2013";"9:00 PM";"H";"";"Italy";"4-4-2 double 6";"72.163";"1:2";"Confederations Cup 2013";"Mexico"
"Group A";"Wed Jun 19, 2013";"9:00 PM";"A";"";"Brazil";"4-4-2 double 6";"50.791";"2:0";"Confederations Cup 2013";"Mexico"
"Group A";"Sat Jun 22, 2013";"9:00 PM";"A";"";"Japan";"4-4-2 double 6";"52.690";"1:2";"Confederations Cup 2013";"Mexico"
"Group A";"Sun Jun 18, 2017";"5:00 PM";"A";"";"Portugal";"4-3-3 Attacking";"34.372";"2:2";"Confederations Cup 2017";"Mexico"
"Group A";"Wed Jun 21, 2017";"8:00 PM";"H";"";"New Zealand";"3-5-2 Attacking";"25.133";"2:1";"Confederations Cup 2017";"Mexico"
