"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group B";"Sun Jul 3, 2011";"9:00 PM";"H";"";"Venezuela";"4-3-3 Defending";"45.000";"0:0";"Copa América 2011";"Brazil"
"Group B";"Sat Jul 9, 2011";"9:00 PM";"H";"";"Paraguay";"4-3-3 Attacking";"57.000";"2:2";"Copa América 2011";"Brazil"
"Group B";"Thu Jul 14, 2011";"2:45 AM";"H";"";"Ecuador";"4-2-3-1";"39.000";"4:2";"Copa América 2011";"Brazil"
"Quarter-Finals";"Sun Jul 17, 2011";"9:00 PM";"H";"";"Paraguay";"4-2-3-1";"36.000";"0:2  on pens";"Copa América 2011";"Brazil"
"Group C";"Sun Jun 14, 2015";"11:30 PM";"H";"";"Peru";"4-3-3 Attacking";"16.342";"2:1";"Copa América 2015";"Brazil"
"Group C";"Thu Jun 18, 2015";"2:00 AM";"H";"";"Colombia";"4-3-3 Attacking";"44.008";"0:1";"Copa América 2015";"Brazil"
"Group C";"Sun Jun 21, 2015";"11:30 PM";"H";"";"Venezuela";"4-2-3-1";"33.383";"2:1";"Copa América 2015";"Brazil"
"Quarter-Finals";"Sat Jun 27, 2015";"11:30 PM";"H";"";"Paraguay";"4-2-3-1";"29.276";"4:5  on pens";"Copa América 2015";"Brazil"
"Group B";"Sun Jun 5, 2016";"4:00 AM";"H";"";"Ecuador";"4-1-4-1";"53.158";"0:0";"Copa América Centenario 2016";"Brazil"
"Group B";"Thu Jun 9, 2016";"1:30 AM";"H";"";"Haiti";"4-1-4-1";"28.241";"7:1";"Copa América Centenario 2016";"Brazil"
"Group B";"Mon Jun 13, 2016";"2:30 AM";"H";"";"Peru";"4-2-3-1";"36.187";"0:1";"Copa América Centenario 2016";"Brazil"
"Group A";"Sat Jun 15, 2019";"2:30 AM";"H";"";"Bolivia";"4-2-3-1";"47.260";"3:0";"Copa América 2019";"Brazil"
"Group A";"Wed Jun 19, 2019";"2:30 AM";"H";"";"Venezuela";"4-2-3-1";"42.587";"0:0";"Copa América 2019";"Brazil"
"Group A";"Sat Jun 22, 2019";"9:00 PM";"A";"";"Peru";"4-2-3-1";"45.067";"0:5";"Copa América 2019";"Brazil"
"Quarter-Finals";"Fri Jun 28, 2019";"2:30 AM";"H";"";"Paraguay";"4-2-3-1";"48.211";"4:3  on pens";"Copa América 2019";"Brazil"
"Semi-Finals";"Wed Jul 3, 2019";"2:30 AM";"H";"";"Argentina";"4-3-3 Attacking";"55.947";"2:0";"Copa América 2019";"Brazil"
"Final";"Sun Jul 7, 2019";"10:00 PM";"H";"";"Peru";"4-1-4-1";"69.968";"3:1";"Copa América 2019";"Brazil"
"Group B";"Sun Jun 13, 2021";"11:00 PM";"H";"";"Venezuela";"4-3-3 Attacking";"x";"3:0";"Copa América 2021";"Brazil"
"Group B";"Fri Jun 18, 2021";"2:00 AM";"A";"";"Peru";"4-2-3-1";"x";"0:4";"Copa América 2021";"Brazil"
"Group B";"Thu Jun 24, 2021";"2:00 AM";"A";"";"Colombia";"4-4-2 double 6";"x";"1:2";"Copa América 2021";"Brazil"
"Group B";"Sun Jun 27, 2021";"11:00 PM";"A";"";"Ecuador";"4-3-3 Attacking";"x";"1:1";"Copa América 2021";"Brazil"
"Quarter-Finals";"Sat Jul 3, 2021";"2:00 AM";"H";"";"Chile";"4-2-3-1";"x";"1:0";"Copa América 2021";"Brazil"
