"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group D";"Mon Jun 11, 2012";"6:00 PM";"A";"";"France";"4-4-2 double 6";"47.400";"1:1";"EURO 2012";"England"
"Group D";"Fri Jun 15, 2012";"9:00 PM";"A";"";"Sweden";"4-2-3-1";"64.640";"2:3";"EURO 2012";"England"
"Group D";"Tue Jun 19, 2012";"8:45 PM";"H";"";"Ukraine";"4-2-3-1";"48.000";"1:0";"EURO 2012";"England"
"Quarter-Finals";"Sun Jun 24, 2012";"8:45 PM";"H";"";"Italy";"4-4-2";"64.340";"2:4  on pens";"EURO 2012";"England"
"Group B";"Sat Jun 11, 2016";"9:00 PM";"H";"";"Russia";"4-1-4-1";"62.343";"1:1";"EURO 2016";"England"
"Group B";"Thu Jun 16, 2016";"3:00 PM";"H";"";"Wales";"4-1-4-1";"34.033";"2:1";"EURO 2016";"England"
"Group B";"Mon Jun 20, 2016";"9:00 PM";"A";"";"Slovakia";"4-1-4-1";"39.051";"0:0";"EURO 2016";"England"
"Round of 16";"Mon Jun 27, 2016";"9:00 PM";"H";"";"Iceland";"4-3-3 Attacking";"33.901";"1:2";"EURO 2016";"England"
"Group D";"Sun Jun 13, 2021";"3:00 PM";"H";"";"Croatia";"4-2-3-1";"18.497";"1:0";"EURO 2020";"England"
"Group D";"Fri Jun 18, 2021";"9:00 PM";"H";"";"Scotland";"4-2-3-1";"20.306";"0:0";"EURO 2020";"England"
"Group D";"Tue Jun 22, 2021";"9:00 PM";"A";"";"Czech Republic";"4-2-3-1";"19.104";"0:1";"EURO 2020";"England"
"Round of 16";"Tue Jun 29, 2021";"6:00 PM";"H";"";"Germany";"3-4-3";"41.973";"2:0";"EURO 2020";"England"
"Quarter-Finals";"Sat Jul 3, 2021";"9:00 PM";"A";"";"Ukraine";"4-2-3-1";"11.880";"0:4";"EURO 2020";"England"
"Semi-Finals";"Wed Jul 7, 2021";"9:00 PM";"H";"";"Denmark";"4-2-3-1";"64.950";"2:1  AET";"EURO 2020";"England"
"Final";"Sun Jul 11, 2021";"9:00 PM";"A";"";"Italy";"3-4-2-1";"67.173";"4:3  on pens";"EURO 2020";"England"
"Group B";"Sat Jun 9, 2012";"8:45 PM";"A";"";"Germany";"4-3-3 Attacking";"32.990";"1:0";"EURO 2012";"Portugal"
"Group B";"Wed Jun 13, 2012";"6:00 PM";"A";"";"Denmark";"4-3-3 Attacking";"31.840";"2:3";"EURO 2012";"Portugal"
"Group B";"Sun Jun 17, 2012";"8:45 PM";"H";"";"Netherlands";"4-3-3 Attacking";"37.445";"2:1";"EURO 2012";"Portugal"
"Quarter-Finals";"Thu Jun 21, 2012";"8:45 PM";"A";"";"Czech Republic";"4-3-3 Attacking";"55.590";"0:1";"EURO 2012";"Portugal"
"Semi-Finals";"Wed Jun 27, 2012";"8:45 PM";"H";"";"Spain";"4-3-3 Attacking";"49.400";"2:4  on pens";"EURO 2012";"Portugal"
"Group F";"Tue Jun 14, 2016";"9:00 PM";"H";"";"Iceland";"4-1-3-2";"38.742";"1:1";"EURO 2016";"Portugal"
"Group F";"Sat Jun 18, 2016";"9:00 PM";"H";"";"Austria";"4-1-3-2";"44.291";"0:0";"EURO 2016";"Portugal"
"Group F";"Wed Jun 22, 2016";"6:00 PM";"A";"";"Hungary";"4-1-3-2";"55.514";"3:3";"EURO 2016";"Portugal"
