"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group G";"Fri Sep 3, 2010";"9:00 PM";"H";"";"Bulgaria";"4-4-2 double 6";"73.246";"4:0";"European Qualifiers";"England"
"Group G";"Tue Sep 7, 2010";"8:45 PM";"A";"";"Switzerland";"4-2-3-1";"37.500";"1:3";"European Qualifiers";"England"
"Group G";"Tue Oct 12, 2010";"9:00 PM";"H";"";"Montenegro";"4-4-2 double 6";"73.451";"0:0";"European Qualifiers";"England"
"Group G";"Sat Mar 26, 2011";"4:00 PM";"A";"";"Wales";"4-3-3 Attacking";"68.959";"0:2";"European Qualifiers";"England"
"Group G";"Sat Jun 4, 2011";"5:45 PM";"H";"";"Switzerland";"4-1-4-1";"84.459";"2:2";"European Qualifiers";"England"
"Group G";"Fri Sep 2, 2011";"8:15 PM";"A";"";"Bulgaria";"4-2-3-1";"36.521";"0:3";"European Qualifiers";"England"
"Group G";"Tue Sep 6, 2011";"8:45 PM";"H";"";"Wales";"4-1-4-1";"77.128";"1:0";"European Qualifiers";"England"
"Group G";"Fri Oct 7, 2011";"9:00 PM";"A";"";"Montenegro";"4-2-3-1";"12.000";"2:2";"European Qualifiers";"England"
"Group H";"Fri Sep 7, 2012";"8:45 PM";"A";"";"Moldova";"4-2-3-1";"10.250";"0:5";"World Cup qualification Europe";"England"
"Group H";"Tue Sep 11, 2012";"9:00 PM";"H";"";"Ukraine";"4-2-3-1";"68.102";"1:1";"World Cup qualification Europe";"England"
"Group H";"Fri Oct 12, 2012";"9:00 PM";"H";"";"San Marino";"4-4-2 double 6";"84.654";"5:0";"World Cup qualification Europe";"England"
"Group H";"Wed Oct 17, 2012";"5:00 PM";"A";"";"Poland";"4-2-3-1";"47.000";"1:1";"World Cup qualification Europe";"England"
"Group H";"Fri Mar 22, 2013";"9:00 PM";"A";"";"San Marino";"4-4-2";"4.980";"0:8";"World Cup qualification Europe";"England"
"Group H";"Tue Mar 26, 2013";"9:00 PM";"A";"";"Montenegro";"4-2-3-1";"12.000";"1:1";"World Cup qualification Europe";"England"
"Group H";"Fri Sep 6, 2013";"9:00 PM";"H";"";"Moldova";"4-2-3-1";"61.607";"4:0";"World Cup qualification Europe";"England"
"Group H";"Tue Sep 10, 2013";"8:45 PM";"A";"";"Ukraine";"4-1-4-1";"66.000";"0:0";"World Cup qualification Europe";"England"
"Group H";"Fri Oct 11, 2013";"9:00 PM";"H";"";"Montenegro";"4-2-3-1";"83.807";"4:1";"World Cup qualification Europe";"England"
"Group H";"Tue Oct 15, 2013";"9:00 PM";"H";"";"Poland";"4-2-3-1";"85.186";"2:0";"World Cup qualification Europe";"England"
"Group E";"Mon Sep 8, 2014";"8:45 PM";"A";"";"Switzerland";"4-4-2 Diamond";"35.500";"0:2";"European Qualifiers";"England"
"Group E";"Thu Oct 9, 2014";"8:45 PM";"H";"";"San Marino";"4-4-2 Diamond";"55.990";"5:0";"European Qualifiers";"England"
"Group E";"Sun Oct 12, 2014";"6:00 PM";"A";"";"Estonia";"4-4-2 Diamond";"10.195";"0:1";"European Qualifiers";"England"
