"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group 4";"Sat Sep 8, 2018";"8:45 PM";"H";"";"Spain";"3-1-4-2";"81.392";"1:2";"UEFA Nations League A";"England"
"Group 4";"Fri Oct 12, 2018";"8:45 PM";"A";"";"Croatia";"4-3-3 Attacking";"x";"0:0";"UEFA Nations League A";"England"
"Group 4";"Mon Oct 15, 2018";"8:45 PM";"A";"";"Spain";"4-3-3 Attacking";"50.355";"2:3";"UEFA Nations League A";"England"
"Group 4";"Sun Nov 18, 2018";"3:00 PM";"H";"";"Croatia";"4-3-3 Attacking";"78.221";"2:1";"UEFA Nations League A";"England"
"Semi-Finals";"Thu Jun 6, 2019";"8:45 PM";"A";"";"Netherlands";"4-3-3 Attacking";"25.711";"3:1  AET";"UEFA Nations League Finals";"England"
"Third Place Play-Off";"Sun Jun 9, 2019";"3:00 PM";"A";"";"Switzerland";"4-2-3-1";"15.742";"5:6  on pens";"UEFA Nations League Finals";"England"
"Group 2";"Sat Sep 5, 2020";"6:00 PM";"A";"";"Iceland";"4-1-4-1";"x";"0:1";"UEFA Nations League A";"England"
"Group 2";"Tue Sep 8, 2020";"8:45 PM";"A";"";"Denmark";"3-4-3";"x";"0:0";"UEFA Nations League A";"England"
"Group 2";"Sun Oct 11, 2020";"6:00 PM";"H";"";"Belgium";"5-3-2";"x";"2:1";"UEFA Nations League A";"England"
"Group 2";"Wed Oct 14, 2020";"8:45 PM";"H";"";"Denmark";"3-4-1-2";"x";"0:1";"UEFA Nations League A";"England"
"Group 2";"Sun Nov 15, 2020";"8:45 PM";"A";"";"Belgium";"3-4-2-1";"x";"2:0";"UEFA Nations League A";"England"
"Group 2";"Wed Nov 18, 2020";"8:45 PM";"H";"";"Iceland";"3-4-2-1";"x";"4:0";"UEFA Nations League A";"England"
"Group 3";"Sat Jun 4, 2022";"6:00 PM";"A";"";"Hungary";"3-4-3";"38.500";"1:0";"UEFA Nations League A";"England"
"Group 3";"Tue Jun 7, 2022";"8:45 PM";"A";"";"Germany";"4-2-3-1";"66.289";"1:1";"UEFA Nations League A";"England"
"Group 3";"Sat Jun 11, 2022";"8:45 PM";"H";"";"Italy";"4-2-3-1";"x";"0:0";"UEFA Nations League A";"England"
"Group 3";"Tue Jun 14, 2022";"8:45 PM";"H";"";"Hungary";"3-5-2 flat";"28.839";"0:4";"UEFA Nations League A";"England"
"Group 3";"Fri Sep 23, 2022";"8:45 PM";"A";"";"Italy";"3-4-3";"50.000";"1:0";"UEFA Nations League A";"England"
"Group 3";"Mon Sep 26, 2022";"8:45 PM";"H";"";"Germany";"3-4-2-1";"";"3:3";"UEFA Nations League A";"England"
"Group 3";"Mon Sep 10, 2018";"8:45 PM";"H";"";"Italy";"4-1-4-1";"52.635";"1:0";"UEFA Nations League A";"Portugal"
"Group 3";"Thu Oct 11, 2018";"8:45 PM";"A";"";"Poland";"4-1-4-1";"43.783";"2:3";"UEFA Nations League A";"Portugal"
"Group 3";"Sat Nov 17, 2018";"8:45 PM";"A";"";"Italy";"4-1-4-1";"73.000";"0:0";"UEFA Nations League A";"Portugal"
"Group 3";"Tue Nov 20, 2018";"8:45 PM";"H";"";"Poland";"4-1-4-1";"29.917";"1:1";"UEFA Nations League A";"Portugal"
"Semi-Finals";"Wed Jun 5, 2019";"8:45 PM";"H";"";"Switzerland";"4-1-4-1";"42.415";"3:1";"UEFA Nations League Finals";"Portugal"
"Final";"Sun Jun 9, 2019";"8:45 PM";"H";"";"Netherlands";"4-1-4-1";"43.199";"1:0";"UEFA Nations League Finals";"Portugal"
"Group 3";"Sat Sep 5, 2020";"8:45 PM";"H";"";"Croatia";"4-1-4-1";"x";"4:1";"UEFA Nations League A";"Portugal"
"Group 3";"Tue Sep 8, 2020";"8:45 PM";"A";"";"Sweden";"4-1-4-1";"";"0:2";"UEFA Nations League A";"Portugal"
"Group 3";"Sun Oct 11, 2020";"8:45 PM";"A";"";"France";"4-1-4-1";"";"0:0";"UEFA Nations League A";"Portugal"
"Group 3";"Wed Oct 14, 2020";"8:45 PM";"H";"";"Sweden";"4-1-4-1";"5.000";"3:0";"UEFA Nations League A";"Portugal"
"Group 3";"Sat Nov 14, 2020";"8:45 PM";"H";"";"France";"4-1-4-1";"x";"0:1";"UEFA Nations League A";"Portugal"
"Group 3";"Tue Nov 17, 2020";"8:45 PM";"A";"";"Croatia";"4-1-4-1";"x";"2:3";"UEFA Nations League A";"Portugal"
"Group 2";"Thu Jun 2, 2022";"8:45 PM";"A";"";"Spain";"4-3-3 Attacking";"41.236";"1:1";"UEFA Nations League A";"Portugal"
"Group 2";"Sun Jun 5, 2022";"8:45 PM";"H";"";"Switzerland";"4-3-3 Attacking";"42.235";"4:0";"UEFA Nations League A";"Portugal"
"Group 2";"Thu Jun 9, 2022";"8:45 PM";"H";"";"Czech Republic";"4-1-4-1";"44.100";"2:0";"UEFA Nations League A";"Portugal"
"Group 2";"Sun Jun 12, 2022";"8:45 PM";"A";"";"Switzerland";"4-3-3 Attacking";"26.300";"1:0";"UEFA Nations League A";"Portugal"
"Group 2";"Sat Sep 24, 2022";"8:45 PM";"A";"";"Czech Republic";"4-3-3 Attacking";"19.322";"0:4";"UEFA Nations League A";"Portugal"
"Group 2";"Tue Sep 27, 2022";"8:45 PM";"H";"";"Spain";"";"";"-:-";"UEFA Nations League A";"Portugal"
"Group 1";"Thu Sep 6, 2018";"8:45 PM";"A";"";"Germany";"4-2-3-1";"67.485";"0:0";"UEFA Nations League A";"France"
"Group 1";"Sun Sep 9, 2018";"8:45 PM";"H";"";"Netherlands";"4-2-3-1";"76.452";"2:1";"UEFA Nations League A";"France"
"Group 1";"Tue Oct 16, 2018";"8:45 PM";"H";"";"Germany";"4-2-3-1";"75.000";"2:1";"UEFA Nations League A";"France"
"Group 1";"Fri Nov 16, 2018";"8:45 PM";"A";"";"Netherlands";"4-3-3 Attacking";"44.366";"2:0";"UEFA Nations League A";"France"
"Group 3";"Sat Sep 5, 2020";"8:45 PM";"A";"";"Sweden";"3-4-1-2";"";"0:1";"UEFA Nations League A";"France"
"Group 3";"Tue Sep 8, 2020";"8:45 PM";"H";"";"Croatia";"3-4-1-2";"x";"4:2";"UEFA Nations League A";"France"
"Group 3";"Sun Oct 11, 2020";"8:45 PM";"H";"";"Portugal";"4-3-1-2";"";"0:0";"UEFA Nations League A";"France"
"Group 3";"Wed Oct 14, 2020";"8:45 PM";"A";"";"Croatia";"4-3-1-2";"";"1:2";"UEFA Nations League A";"France"
"Group 3";"Sat Nov 14, 2020";"8:45 PM";"A";"";"Portugal";"4-3-1-2";"x";"0:1";"UEFA Nations League A";"France"
"Group 3";"Tue Nov 17, 2020";"8:45 PM";"H";"";"Sweden";"4-4-2";"x";"4:2";"UEFA Nations League A";"France"
"Semi-Finals";"Thu Oct 7, 2021";"8:45 PM";"A";"";"Belgium";"3-4-1-2";"12.409";"2:3";"UEFA Nations League Finals";"France"
"Final";"Sun Oct 10, 2021";"8:45 PM";"A";"";"Spain";"3-4-1-2";"31.511";"1:2";"UEFA Nations League Finals";"France"
"Group 1";"Fri Jun 3, 2022";"8:45 PM";"H";"";"Denmark";"3-4-1-2";"75.833";"1:2";"UEFA Nations League A";"France"
"Group 1";"Mon Jun 6, 2022";"8:45 PM";"A";"";"Croatia";"4-2-3-1";"30.000";"1:1";"UEFA Nations League A";"France"
"Group 1";"Fri Jun 10, 2022";"8:45 PM";"A";"";"Austria";"4-2-3-1";"44.800";"1:1";"UEFA Nations League A";"France"
"Group 1";"Mon Jun 13, 2022";"8:45 PM";"H";"";"Croatia";"4-4-2 double 6";"77.410";"0:1";"UEFA Nations League A";"France"
"Group 1";"Thu Sep 22, 2022";"8:45 PM";"H";"";"Austria";"3-4-1-2";"";"2:0";"UEFA Nations League A";"France"
"Group 1";"Sun Sep 25, 2022";"8:45 PM";"A";"";"Denmark";"3-4-1-2";"36.064";"2:0";"UEFA Nations League A";"France"
"Group 1";"Thu Sep 6, 2018";"8:45 PM";"H";"";"France";"4-2-3-1";"67.485";"0:0";"UEFA Nations League A";"Germany"
"Group 1";"Sat Oct 13, 2018";"8:45 PM";"A";"";"Netherlands";"4-1-4-1";"52.536";"3:0";"UEFA Nations League A";"Germany"
"Group 1";"Tue Oct 16, 2018";"8:45 PM";"A";"";"France";"3-4-3";"75.000";"2:1";"UEFA Nations League A";"Germany"
"Group 1";"Mon Nov 19, 2018";"8:45 PM";"H";"";"Netherlands";"3-4-3";"42.186";"2:2";"UEFA Nations League A";"Germany"
"Group 4";"Thu Sep 3, 2020";"8:45 PM";"H";"";"Spain";"3-4-1-2";"x";"1:1";"UEFA Nations League A";"Germany"
"Group 4";"Sun Sep 6, 2020";"8:45 PM";"A";"";"Switzerland";"5-4-1";"x";"1:1";"UEFA Nations League A";"Germany"
"Group 4";"Sat Oct 10, 2020";"8:45 PM";"A";"";"Ukraine";"3-4-2-1";"";"1:2";"UEFA Nations League A";"Germany"
"Group 4";"Tue Oct 13, 2020";"8:45 PM";"H";"";"Switzerland";"4-2-3-1";"x";"3:3";"UEFA Nations League A";"Germany"
"Group 4";"Sat Nov 14, 2020";"8:45 PM";"H";"";"Ukraine";"3-4-3";"x";"3:1";"UEFA Nations League A";"Germany"
"Group 4";"Tue Nov 17, 2020";"8:45 PM";"A";"";"Spain";"4-3-3 Defending";"x";"6:0";"UEFA Nations League A";"Germany"
"Group 3";"Sat Jun 4, 2022";"8:45 PM";"A";"";"Italy";"4-2-3-1";"27.754";"1:1";"UEFA Nations League A";"Germany"
"Group 3";"Tue Jun 7, 2022";"8:45 PM";"H";"";"England";"3-4-2-1";"66.289";"1:1";"UEFA Nations League A";"Germany"
"Group 3";"Sat Jun 11, 2022";"8:45 PM";"A";"";"Hungary";"4-2-3-1";"55.926";"1:1";"UEFA Nations League A";"Germany"
"Group 3";"Tue Jun 14, 2022";"8:45 PM";"H";"";"Italy";"4-2-3-1";"44.144";"5:2";"UEFA Nations League A";"Germany"
"Group 3";"Fri Sep 23, 2022";"8:45 PM";"H";"";"Hungary";"4-2-3-1";"39.513";"0:1";"UEFA Nations League A";"Germany"
"Group 3";"Mon Sep 26, 2022";"8:45 PM";"A";"";"England";"4-2-3-1";"";"3:3";"UEFA Nations League A";"Germany"
"Group 4";"Sat Sep 8, 2018";"8:45 PM";"A";"";"England";"4-3-3 Attacking";"81.392";"1:2";"UEFA Nations League A";"Spain"
"Group 4";"Tue Sep 11, 2018";"8:45 PM";"H";"";"Croatia";"4-3-3 Attacking";"26.900";"6:0";"UEFA Nations League A";"Spain"
"Group 4";"Mon Oct 15, 2018";"8:45 PM";"H";"";"England";"4-3-3 Attacking";"50.355";"2:3";"UEFA Nations League A";"Spain"
"Group 4";"Thu Nov 15, 2018";"8:45 PM";"A";"";"Croatia";"4-3-3 Attacking";"33.018";"3:2";"UEFA Nations League A";"Spain"
"Group 4";"Thu Sep 3, 2020";"8:45 PM";"A";"";"Germany";"4-3-3 Attacking";"x";"1:1";"UEFA Nations League A";"Spain"
"Group 4";"Sun Sep 6, 2020";"8:45 PM";"H";"";"Ukraine";"4-3-3 Attacking";"x";"4:0";"UEFA Nations League A";"Spain"
"Group 4";"Sat Oct 10, 2020";"8:45 PM";"H";"";"Switzerland";"4-2-3-1";"x";"1:0";"UEFA Nations League A";"Spain"
"Group 4";"Tue Oct 13, 2020";"8:45 PM";"A";"";"Ukraine";"4-3-3 Attacking";"";"1:0";"UEFA Nations League A";"Spain"
