"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"Gruppe C";"Sa. 12.06.2010";"20:30";"H";"";"Vereinigte Staaten";"4-4-2 doppel 6";"38.646";"1:1";"Weltmeisterschaft 2010";"england"
"Gruppe C";"Fr. 18.06.2010";"20:30";"H";"";"Algerien";"4-4-2 doppel 6";"64.100";"0:0";"Weltmeisterschaft 2010";"england"
"Gruppe C";"Mi. 23.06.2010";"16:00";"A";"";"Slowenien";"4-4-2 doppel 6";"36.893";"0:1";"Weltmeisterschaft 2010";"england"
"Achtelfinale";"So. 27.06.2010";"16:00";"A";"";"Deutschland";"4-4-2 doppel 6";"40.510";"4:1";"Weltmeisterschaft 2010";"england"
NA;"Mi. 03.03.2010";"21:00";"H";"";"Ägypten";"4-4-2 doppel 6";"80.602";"3:1";"Freundschaftsspiele";"england"
NA;"Mo. 24.05.2010";"21:00";"H";"";"Mexiko";"4-2-3-1";"88.638";"3:1";"Freundschaftsspiele";"england"
NA;"So. 30.05.2010";"14:15";"H";"";"Japan";"4-4-2 doppel 6";"15.326";"2:1";"Freundschaftsspiele";"england"
NA;"Mi. 11.08.2010";"21:00";"H";"";"Ungarn";"4-2-3-1";"72.024";"2:1";"Freundschaftsspiele";"england"
NA;"Mi. 17.11.2010";"21:00";"H";"";"Frankreich";"4-2-3-1";"85.495";"1:2";"Freundschaftsspiele";"england"
NA;"Mi. 09.02.2011";"20:15";"A";"";"Dänemark";"4-2-3-1";"21.523";"1:2";"Freundschaftsspiele";"england"
NA;"Di. 29.03.2011";"21:00";"H";"";"Ghana";"4-1-4-1";"80.102";"1:1";"Freundschaftsspiele";"england"
NA;"Sa. 12.11.2011";"18:15";"H";"";"Spanien";"4-3-3 offensiv";"87.189";"1:0";"Freundschaftsspiele";"england"
NA;"Di. 15.11.2011";"21:00";"H";"";"Schweden";"4-5-1 flach";"48.876";"1:0";"Freundschaftsspiele";"england"
NA;"Mi. 29.02.2012";"21:00";"H";"";"Niederlande";"4-2-3-1";"76.283";"2:3";"Freundschaftsspiele";"england"
NA;"Sa. 26.05.2012";"20:45";"A";"";"Norwegen";"4-4-2 doppel 6";"21.496";"0:1";"Freundschaftsspiele";"england"
NA;"Sa. 02.06.2012";"18:15";"H";"";"Belgien";"4-4-2";"85.091";"1:0";"Freundschaftsspiele";"england"
NA;"Mi. 15.08.2012";"21:00";"A";"";"Italien";"4-2-3-1";"15.000";"1:2";"Freundschaftsspiele";"england"
NA;"Mi. 14.11.2012";"20:30";"A";"";"Schweden";"4-2-3-1";"49.967";"4:2";"Freundschaftsspiele";"england"
NA;"Mi. 06.02.2013";"20:30";"H";"";"Brasilien";"4-3-3 offensiv";"87.453";"2:1";"Freundschaftsspiele";"england"
NA;"Mi. 29.05.2013";"21:00";"H";"";"Irland";"4-2-3-1";"80.126";"1:1";"Freundschaftsspiele";"england"
NA;"So. 02.06.2013";"21:00";"A";"";"Brasilien";"4-3-3 offensiv";"66.015";"2:2";"Freundschaftsspiele";"england"
NA;"Mi. 14.08.2013";"21:00";"H";"";"Schottland";"4-2-3-1";"80.485";"3:2";"Freundschaftsspiele";"england"
NA;"Fr. 15.11.2013";"21:00";"H";"";"Chile";"4-2-3-1";"62.953";"0:2";"Freundschaftsspiele";"england"
