"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"group J";"Sat Jun 2, 2012";"8:00 PM";"H";"";"Liberia";"4-4-2 double 6";"15.000";"3:1";"World Cup qualification Africa";"Senegal"
"group J";"Sat Jun 9, 2012";"3:00 PM";"A";"";"Uganda";"4-4-2 double 6";"30.000";"1:1";"World Cup qualification Africa";"Senegal"
"group J";"Sat Mar 23, 2013";"6:00 PM";"H";"";"Angola";"4-3-3 Attacking";"13.500";"1:1";"World Cup qualification Africa";"Senegal"
"group J";"Sat Jun 8, 2013";"5:00 PM";"A";"";"Angola";"4-3-3 Attacking";"40.000";"1:1";"World Cup qualification Africa";"Senegal"
"group J";"Sun Jun 16, 2013";"6:00 PM";"A";"";"Liberia";"4-4-2 double 6";"35.000";"0:2";"World Cup qualification Africa";"Senegal"
"group J";"Sat Sep 7, 2013";"10:00 PM";"H";"";"Uganda";"4-4-2 double 6";"2.000";"1:0";"World Cup qualification Africa";"Senegal"
"3rd round 1st leg";"Sat Oct 12, 2013";"7:00 PM";"A";"";"Ivory Coast";"4-5-1 flat";"30.000";"3:1";"World Cup qualification Africa";"Senegal"
"3rd round 2nd leg";"Sat Nov 16, 2013";"8:00 PM";"H";"";"Ivory Coast";"4-4-2 double 6";"15.000";"1:1";"World Cup qualification Africa";"Senegal"
"Second Round 1st leg";"Fri Nov 13, 2015";"12:30 PM";"A";"";"Madagascar";"4-4-2 double 6";"24.000";"2:2";"World Cup qualification Africa";"Senegal"
"Second Round 2nd leg";"Tue Nov 17, 2015";"8:00 PM";"H";"";"Madagascar";"4-4-2 double 6";"35.000";"3:0";"World Cup qualification Africa";"Senegal"
"Group D";"Sat Oct 8, 2016";"10:00 PM";"H";"";"Cape Verde";"4-3-3 Attacking";"60.000";"2:0";"World Cup qualification Africa";"Senegal"
"Group D";"Sat Nov 12, 2016";"2:00 PM";"A";"";"South Africa";"4-3-3 Attacking";"26.179";"2:1";"World Cup qualification Africa";"Senegal"
"Group D";"Sat Sep 2, 2017";"10:00 PM";"H";"";"Burkina Faso";"4-3-3 Attacking";"40.000";"0:0";"World Cup qualification Africa";"Senegal"
"Group D";"Tue Sep 5, 2017";"8:00 PM";"A";"";"Burkina Faso";"4-3-3 Attacking";"";"2:2";"World Cup qualification Africa";"Senegal"
"Group D";"Sat Oct 7, 2017";"7:30 PM";"A";"";"Cape Verde";"4-3-3 Attacking";"";"0:2";"World Cup qualification Africa";"Senegal"
"Group D";"Fri Nov 10, 2017";"6:00 PM";"A";"";"South Africa";"4-3-3 Attacking";"40.000";"0:2";"World Cup qualification Africa";"Senegal"
"Group D";"Tue Nov 14, 2017";"8:30 PM";"H";"";"South Africa";"4-3-3 Attacking";"";"2:1";"World Cup qualification Africa";"Senegal"
"Group H";"Wed Sep 1, 2021";"6:00 PM";"H";"";"Togo";"4-2-3-1";"";"2:0";"World Cup qualification Africa";"Senegal"
"Group H";"Tue Sep 7, 2021";"6:00 PM";"A";"";"Republic of the Congo";"4-2-3-1";"";"1:3";"World Cup qualification Africa";"Senegal"
"Group H";"Sat Oct 9, 2021";"9:00 PM";"H";"";"Namibia";"4-2-3-1";"";"4:1";"World Cup qualification Africa";"Senegal"
"Group H";"Tue Oct 12, 2021";"3:00 PM";"A";"";"Namibia";"4-2-3-1";"";"1:3";"World Cup qualification Africa";"Senegal"
"Group H";"Thu Nov 11, 2021";"8:00 PM";"A";"";"Togo";"4-2-3-1";"";"1:1";"World Cup qualification Africa";"Senegal"
"Group H";"Sun Nov 14, 2021";"8:00 PM";"H";"";"Republic of the Congo";"4-4-2 double 6";"";"2:0";"World Cup qualification Africa";"Senegal"
"3rd round 1st leg";"Fri Mar 25, 2022";"8:30 PM";"A";"";"Egypt";"4-3-3 Attacking";"70.000";"1:0";"World Cup qualification Africa";"Senegal"
"3rd round 2nd leg";"Tue Mar 29, 2022";"7:00 PM";"H";"";"Egypt";"4-3-3 Attacking";"";"3:1  on pens";"World Cup qualification Africa";"Senegal"
"Group C";"Sat Jun 2, 2012";"6:30 PM";"A";"";"The Gambia";"4-2-3-1";"15.000";"1:1";"World Cup qualification Africa";"Morocco"
"Group C";"Sat Jun 9, 2012";"10:00 PM";"H";"";"Ivory Coast";"?";"36.000";"2:2";"World Cup qualification Africa";"Morocco"
"Group C";"Sun Mar 24, 2013";"1:00 PM";"A";"";"Tanzania";"?";"40.000";"3:1";"World Cup qualification Africa";"Morocco"
"Group C";"Sat Jun 8, 2013";"10:00 PM";"H";"";"Tanzania";"4-4-2 Diamond";"5.000";"2:1";"World Cup qualification Africa";"Morocco"
