"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"Gruppe G";"Fr. 03.09.2010";"21:00";"H";"";"Bulgarien";"4-4-2 doppel 6";"73.246";"4:0";"EM-Qualifikation";"england"
"Gruppe G";"Di. 07.09.2010";"20:45";"A";"";"Schweiz";"4-2-3-1";"37.500";"1:3";"EM-Qualifikation";"england"
"Gruppe G";"Di. 12.10.2010";"21:00";"H";"";"Montenegro";"4-4-2 doppel 6";"73.451";"0:0";"EM-Qualifikation";"england"
"Gruppe G";"Sa. 26.03.2011";"16:00";"A";"";"Wales";"4-3-3 offensiv";"68.959";"0:2";"EM-Qualifikation";"england"
"Gruppe G";"Sa. 04.06.2011";"17:45";"H";"";"Schweiz";"4-1-4-1";"84.459";"2:2";"EM-Qualifikation";"england"
"Gruppe G";"Fr. 02.09.2011";"20:15";"A";"";"Bulgarien";"4-2-3-1";"36.521";"0:3";"EM-Qualifikation";"england"
"Gruppe G";"Di. 06.09.2011";"20:45";"H";"";"Wales";"4-1-4-1";"77.128";"1:0";"EM-Qualifikation";"england"
"Gruppe G";"Fr. 07.10.2011";"21:00";"A";"";"Montenegro";"4-2-3-1";"12.000";"2:2";"EM-Qualifikation";"england"
"Gruppe E";"Mo. 08.09.2014";"20:45";"A";"";"Schweiz";"4-4-2 Raute";"35.500";"0:2";"EM-Qualifikation";"england"
"Gruppe E";"Do. 09.10.2014";"20:45";"H";"";"San Marino";"4-4-2 Raute";"55.990";"5:0";"EM-Qualifikation";"england"
"Gruppe E";"So. 12.10.2014";"18:00";"A";"";"Estland";"4-4-2 Raute";"10.195";"0:1";"EM-Qualifikation";"england"
"Gruppe E";"Sa. 15.11.2014";"18:00";"H";"";"Slowenien";"4-4-2 Raute";"82.305";"3:1";"EM-Qualifikation";"england"
"Gruppe E";"Fr. 27.03.2015";"20:45";"H";"";"Litauen";"4-3-3 offensiv";"83.671";"4:0";"EM-Qualifikation";"england"
"Gruppe E";"So. 14.06.2015";"18:00";"A";"";"Slowenien";"4-3-3 offensiv";"15.796";"2:3";"EM-Qualifikation";"england"
"Gruppe E";"Sa. 05.09.2015";"18:00";"A";"";"San Marino";"4-3-3 offensiv";"4.378";"0:6";"EM-Qualifikation";"england"
"Gruppe E";"Di. 08.09.2015";"20:45";"H";"";"Schweiz";"4-3-3 offensiv";"75.751";"2:0";"EM-Qualifikation";"england"
"Gruppe E";"Fr. 09.10.2015";"20:45";"H";"";"Estland";"4-3-3 offensiv";"75.427";"2:0";"EM-Qualifikation";"england"
"Gruppe E";"Mo. 12.10.2015";"20:45";"A";"";"Litauen";"4-1-4-1";"5.051";"0:3";"EM-Qualifikation";"england"
"Gruppe A";"Fr. 22.03.2019";"20:45";"H";"";"Tschechien";"4-3-3 offensiv";"82.575";"5:0";"EM-Qualifikation";"england"
"Gruppe A";"Mo. 25.03.2019";"20:45";"A";"";"Montenegro";"4-3-3 offensiv";"8.330";"1:5";"EM-Qualifikation";"england"
"Gruppe A";"Sa. 07.09.2019";"18:00";"H";"";"Bulgarien";"4-3-3 offensiv";"82.605";"4:0";"EM-Qualifikation";"england"
"Gruppe A";"Di. 10.09.2019";"20:45";"H";"";"Kosovo";"4-2-3-1";"30.155";"5:3";"EM-Qualifikation";"england"
"Gruppe A";"Fr. 11.10.2019";"20:45";"A";"";"Tschechien";"4-2-3-1";"18.651";"2:1";"EM-Qualifikation";"england"
"Gruppe A";"Mo. 14.10.2019";"20:45";"A";"";"Bulgarien";"4-3-3 offensiv";"17.481";"0:6";"EM-Qualifikation";"england"
"Gruppe A";"Do. 14.11.2019";"20:45";"H";"";"Montenegro";"4-3-3 offensiv";"77.277";"7:0";"EM-Qualifikation";"england"
"Gruppe A";"So. 17.11.2019";"18:00";"A";"";"Kosovo";"4-1-4-1";"12.326";"0:4";"EM-Qualifikation";"england"
"Gruppe D";"Fr. 03.09.2010";"21:00";"H";"";"Belarus";"4-4-2 doppel 6";"76.395";"0:1";"EM-Qualifikation";"frankreich"
"Gruppe D";"Di. 07.09.2010";"21:00";"A";"";"Bosnien-Herzegowina";"4-3-3 offensiv";"30.000";"0:2";"EM-Qualifikation";"frankreich"
"Gruppe D";"Sa. 09.10.2010";"21:00";"H";"";"Rumänien";"4-3-3 defensiv";"79.299";"2:0";"EM-Qualifikation";"frankreich"
"Gruppe D";"Di. 12.10.2010";"21:00";"H";"";"Luxemburg";"4-3-1-2";"24.710";"2:0";"EM-Qualifikation";"frankreich"
"Gruppe D";"Fr. 25.03.2011";"21:00";"A";"";"Luxemburg";"4-3-3 defensiv";"8.400";"0:2";"EM-Qualifikation";"frankreich"
"Gruppe D";"Fr. 03.06.2011";"20:50";"A";"";"Belarus";"4-2-3-1";"27.000";"1:1";"EM-Qualifikation";"frankreich"
"Gruppe D";"Fr. 02.09.2011";"21:00";"A";"";"Albanien";"4-2-3-1";"19.500";"1:2";"EM-Qualifikation";"frankreich"
"Gruppe D";"Di. 06.09.2011";"20:30";"A";"";"Rumänien";"4-4-2 doppel 6";"49.187";"0:0";"EM-Qualifikation";"frankreich"
"Gruppe D";"Fr. 07.10.2011";"21:00";"H";"";"Albanien";"4-4-2 doppel 6";"67.000";"3:0";"EM-Qualifikation";"frankreich"
"Gruppe D";"Di. 11.10.2011";"21:00";"H";"";"Bosnien-Herzegowina";"4-3-3 offensiv";"78.457";"1:1";"EM-Qualifikation";"frankreich"
"Gruppe H";"Fr. 22.03.2019";"20:45";"A";"";"Moldawien";"4-2-3-1";"13.000";"1:4";"EM-Qualifikation";"frankreich"
"Gruppe H";"Mo. 25.03.2019";"20:45";"H";"";"Island";"4-2-3-1";"64.538";"4:0";"EM-Qualifikation";"frankreich"
"Gruppe H";"Sa. 08.06.2019";"20:45";"A";"";"Türkei";"4-4-2";"42.160";"2:0";"EM-Qualifikation";"frankreich"
"Gruppe H";"Di. 11.06.2019";"20:45";"A";"";"Andorra";"4-2-3-1";"2.800";"0:4";"EM-Qualifikation";"frankreich"
"Gruppe H";"Sa. 07.09.2019";"20:45";"H";"";"Albanien";"4-2-3-1";"78.000";"4:1";"EM-Qualifikation";"frankreich"
"Gruppe H";"Di. 10.09.2019";"20:45";"H";"";"Andorra";"4-2-3-1";"55.383";"3:0";"EM-Qualifikation";"frankreich"
"Gruppe H";"Fr. 11.10.2019";"20:45";"A";"";"Island";"4-3-3 offensiv";"9.719";"0:1";"EM-Qualifikation";"frankreich"
"Gruppe H";"Mo. 14.10.2019";"20:45";"H";"";"Türkei";"4-2-3-1";"72.154";"1:1";"EM-Qualifikation";"frankreich"
"Gruppe H";"Do. 14.11.2019";"20:45";"H";"";"Moldawien";"4-2-3-1";"70.000";"2:1";"EM-Qualifikation";"frankreich"
"Gruppe H";"So. 17.11.2019";"20:45";"A";"";"Albanien";"3-4-1-2";"21.228";"0:2";"EM-Qualifikation";"frankreich"
"Gruppe A";"Fr. 03.09.2010";"20:45";"A";"";"Belgien";"4-2-3-1";"47.000";"0:1";"EM-Qualifikation";"deutschland"
"Gruppe A";"Di. 07.09.2010";"20:45";"H";"";"Aserbaidschan";"4-2-3-1";"43.751";"6:1";"EM-Qualifikation";"deutschland"
"Gruppe A";"Fr. 08.10.2010";"20:45";"H";"";"Türkei";"4-2-3-1";"74.200";"3:0";"EM-Qualifikation";"deutschland"
"Gruppe A";"Di. 12.10.2010";"19:00";"A";"";"Kasachstan";"4-2-3-1";"18.000";"0:3";"EM-Qualifikation";"deutschland"
"Gruppe A";"Sa. 26.03.2011";"20:00";"H";"";"Kasachstan";"4-2-3-1";"47.849";"4:0";"EM-Qualifikation";"deutschland"
"Gruppe A";"Fr. 03.06.2011";"20:30";"A";"";"Österreich";"4-2-3-1";"50.865";"1:2";"EM-Qualifikation";"deutschland"
"Gruppe A";"Di. 07.06.2011";"19:00";"A";"";"Aserbaidschan";"4-2-3-1";"25.000";"1:3";"EM-Qualifikation";"deutschland"
"Gruppe A";"Fr. 02.09.2011";"20:45";"H";"";"Österreich";"4-2-3-1";"53.313";"6:2";"EM-Qualifikation";"deutschland"
"Gruppe A";"Fr. 07.10.2011";"20:30";"A";"";"Türkei";"4-2-3-1";"52.650";"1:3";"EM-Qualifikation";"deutschland"
"Gruppe A";"Di. 11.10.2011";"19:00";"H";"";"Belgien";"4-2-3-1";"48.483";"3:1";"EM-Qualifikation";"deutschland"
"Gruppe D";"So. 07.09.2014";"20:45";"H";"";"Schottland";"4-2-3-1";"60.209";"2:1";"EM-Qualifikation";"deutschland"
"Gruppe D";"Sa. 11.10.2014";"20:45";"A";"";"Polen";"4-2-3-1";"58.145";"2:0";"EM-Qualifikation";"deutschland"
"Gruppe D";"Di. 14.10.2014";"20:45";"H";"";"Irland";"4-2-3-1";"51.000";"1:1";"EM-Qualifikation";"deutschland"
"Gruppe D";"Fr. 14.11.2014";"20:45";"H";"";"Gibraltar";"3-5-2";"44.308";"4:0";"EM-Qualifikation";"deutschland"
"Gruppe D";"So. 29.03.2015";"18:00";"A";"";"Georgien";"4-2-3-1";"54.549";"0:2";"EM-Qualifikation";"deutschland"
"Gruppe D";"Sa. 13.06.2015";"20:45";"A";"";"Gibraltar";"3-5-2";"7.467";"0:7";"EM-Qualifikation";"deutschland"
"Gruppe D";"Fr. 04.09.2015";"20:45";"H";"";"Polen";"4-2-3-1";"48.500";"3:1";"EM-Qualifikation";"deutschland"
