"";"_Spieltag";"Datum";"Uhrzeit";"Heimmannschaft";"Gastmannschaft";"Spielsystem";"Trainer";"Zuschauer";"Ergebnis";"country"
"1";"Gruppe C";"Sa. 12.06.2010";"20:30";"England";"Vereinigte Staaten";"4-4-2 doppel 6";"Fabio Capello";"38.646";"1:1";"england"
"2";"Gruppe C";"Fr. 18.06.2010";"20:30";"England";"Algerien";"4-4-2 doppel 6";"Fabio Capello";"64.100";"0:0";"england"
"3";"Gruppe C";"Mi. 23.06.2010";"16:00";"Slowenien";"England";"4-4-2 doppel 6";"Fabio Capello";"36.893";"0:1";"england"
"4";"Achtelfinale";"So. 27.06.2010";"16:00";"Deutschland";"England";"4-4-2 doppel 6";"Fabio Capello";"40.510";"4:1";"england"
"5";"Gruppe D";"So. 15.06.2014";"00:00";"England";"Italien";"4-2-3-1";"Roy Hodgson";"39.800";"1:2";"england"
"6";"Gruppe D";"Do. 19.06.2014";"21:00";"Uruguay";"England";"4-2-3-1";"Roy Hodgson";"62.103";"2:1";"england"
"7";"Gruppe D";"Di. 24.06.2014";"18:00";"Costa Rica";"England";"4-2-3-1";"Roy Hodgson";"57.823";"0:0";"england"
"8";"Gruppe G";"Mo. 18.06.2018";"20:00";"Tunesien";"England";"3-1-4-2";"Gareth Southgate";"41.064";"1:2";"england"
"9";"Gruppe G";"So. 24.06.2018";"14:00";"England";"Panama";"3-1-4-2";"Gareth Southgate";"43.319";"6:1";"england"
"10";"Gruppe G";"Do. 28.06.2018";"20:00";"England";"Belgien";"3-5-2 flach";"Gareth Southgate";"33.973";"0:1";"england"
"11";"Achtelfinale";"Di. 03.07.2018";"20:00";"Kolumbien";"England";"3-1-4-2";"Gareth Southgate";"44.190";"4:5  n.E.";"england"
"12";"Viertelfinale";"Sa. 07.07.2018";"16:00";"Schweden";"England";"3-1-4-2";"Gareth Southgate";"39.991";"0:2";"england"
"13";"Halbfinale";"Mi. 11.07.2018";"20:00";"Kroatien";"England";"3-1-4-2";"Gareth Southgate";"78.011";"2:1  n.V.";"england"
"14";"Spiel um Platz Drei";"Sa. 14.07.2018";"16:00";"Belgien";"England";"3-5-2 flach";"Gareth Southgate";"64.406";"2:0";"england"
"15";"Gruppe B";"Mo. 21.11.2022";"14:00";"England";"Iran";"?";"Gareth Southgate";"";"-:-";"england"
"16";"Gruppe B";"Fr. 25.11.2022";"20:00";"England";"Vereinigte Staaten";"?";"Gareth Southgate";"";"-:-";"england"
"17";"Gruppe B";"Di. 29.11.2022";"20:00";"Wales";"England";"?";"Gareth Southgate";"";"-:-";"england"
"18";"Gruppe A";"Fr. 11.06.2010";"20:30";"Uruguay";"Frankreich";"4-2-3-1";"Raymond Domenech";"64.100";"0:0";"frankreich"
"19";"Gruppe A";"Do. 17.06.2010";"20:30";"Frankreich";"Mexiko";"4-2-3-1";"Raymond Domenech";"35.370";"0:2";"frankreich"
"20";"Gruppe A";"Di. 22.06.2010";"16:00";"Frankreich";"Südafrika";"4-2-3-1";"Raymond Domenech";"39.415";"1:2";"frankreich"
