"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"Gruppe H";"Fr. 07.09.2012";"20:45";"A";"";"Moldawien";"4-2-3-1";"10.250";"0:5";"WM-Qualifikation Europa";"england"
"Gruppe H";"Di. 11.09.2012";"21:00";"H";"";"Ukraine";"4-2-3-1";"68.102";"1:1";"WM-Qualifikation Europa";"england"
"Gruppe H";"Fr. 12.10.2012";"21:00";"H";"";"San Marino";"4-4-2 doppel 6";"84.654";"5:0";"WM-Qualifikation Europa";"england"
"Gruppe H";"Mi. 17.10.2012";"17:00";"A";"";"Polen";"4-2-3-1";"47.000";"1:1";"WM-Qualifikation Europa";"england"
"Gruppe H";"Fr. 22.03.2013";"21:00";"A";"";"San Marino";"4-4-2";"4.980";"0:8";"WM-Qualifikation Europa";"england"
"Gruppe H";"Di. 26.03.2013";"21:00";"A";"";"Montenegro";"4-2-3-1";"12.000";"1:1";"WM-Qualifikation Europa";"england"
"Gruppe H";"Fr. 06.09.2013";"21:00";"H";"";"Moldawien";"4-2-3-1";"61.607";"4:0";"WM-Qualifikation Europa";"england"
"Gruppe H";"Di. 10.09.2013";"20:45";"A";"";"Ukraine";"4-1-4-1";"66.000";"0:0";"WM-Qualifikation Europa";"england"
"Gruppe H";"Fr. 11.10.2013";"21:00";"H";"";"Montenegro";"4-2-3-1";"83.807";"4:1";"WM-Qualifikation Europa";"england"
"Gruppe H";"Di. 15.10.2013";"21:00";"H";"";"Polen";"4-2-3-1";"85.186";"2:0";"WM-Qualifikation Europa";"england"
"Gruppe F";"So. 04.09.2016";"18:00";"A";"";"Slowakei";"4-2-3-1";"18.111";"0:1";"WM-Qualifikation Europa";"england"
"Gruppe F";"Sa. 08.10.2016";"18:00";"H";"";"Malta";"4-3-3 offensiv";"81.718";"2:0";"WM-Qualifikation Europa";"england"
"Gruppe F";"Di. 11.10.2016";"20:45";"A";"";"Slowenien";"4-3-3 offensiv";"13.274";"0:0";"WM-Qualifikation Europa";"england"
"Gruppe F";"Fr. 11.11.2016";"20:45";"H";"";"Schottland";"4-2-3-1";"87.258";"3:0";"WM-Qualifikation Europa";"england"
"Gruppe F";"So. 26.03.2017";"18:00";"H";"";"Litauen";"4-1-4-1";"77.690";"2:0";"WM-Qualifikation Europa";"england"
"Gruppe F";"Sa. 10.06.2017";"18:00";"A";"";"Schottland";"4-2-3-1";"48.520";"2:2";"WM-Qualifikation Europa";"england"
