"";"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"1";"Gruppe C";"Sa. 12.06.2010";"20:30";"H";"";"Vereinigte Staaten";"4-4-2 doppel 6";"38.646";"1:1";"Weltmeisterschaft 2010";"england"
"2";"Gruppe C";"Fr. 18.06.2010";"20:30";"H";"";"Algerien";"4-4-2 doppel 6";"64.100";"0:0";"Weltmeisterschaft 2010";"england"
"3";"Gruppe C";"Mi. 23.06.2010";"16:00";"A";"";"Slowenien";"4-4-2 doppel 6";"36.893";"0:1";"Weltmeisterschaft 2010";"england"
"4";"Achtelfinale";"So. 27.06.2010";"16:00";"A";"";"Deutschland";"4-4-2 doppel 6";"40.510";"4:1";"Weltmeisterschaft 2010";"england"
"5";NA;"Mi. 03.03.2010";"21:00";"H";"";"Ägypten";"4-4-2 doppel 6";"80.602";"3:1";"Freundschaftsspiele";"england"
"6";NA;"Mo. 24.05.2010";"21:00";"H";"";"Mexiko";"4-2-3-1";"88.638";"3:1";"Freundschaftsspiele";"england"
"7";NA;"So. 30.05.2010";"14:15";"H";"";"Japan";"4-4-2 doppel 6";"15.326";"2:1";"Freundschaftsspiele";"england"
"8";NA;"Mi. 11.08.2010";"21:00";"H";"";"Ungarn";"4-2-3-1";"72.024";"2:1";"Freundschaftsspiele";"england"
"9";NA;"Mi. 17.11.2010";"21:00";"H";"";"Frankreich";"4-2-3-1";"85.495";"1:2";"Freundschaftsspiele";"england"
"10";NA;"Mi. 09.02.2011";"20:15";"A";"";"Dänemark";"4-2-3-1";"21.523";"1:2";"Freundschaftsspiele";"england"
"11";NA;"Di. 29.03.2011";"21:00";"H";"";"Ghana";"4-1-4-1";"80.102";"1:1";"Freundschaftsspiele";"england"
"12";NA;"Sa. 12.11.2011";"18:15";"H";"";"Spanien";"4-3-3 offensiv";"87.189";"1:0";"Freundschaftsspiele";"england"
"13";NA;"Di. 15.11.2011";"21:00";"H";"";"Schweden";"4-5-1 flach";"48.876";"1:0";"Freundschaftsspiele";"england"
"14";NA;"Mi. 29.02.2012";"21:00";"H";"";"Niederlande";"4-2-3-1";"76.283";"2:3";"Freundschaftsspiele";"england"
"15";NA;"Sa. 26.05.2012";"20:45";"A";"";"Norwegen";"4-4-2 doppel 6";"21.496";"0:1";"Freundschaftsspiele";"england"
"16";NA;"Sa. 02.06.2012";"18:15";"H";"";"Belgien";"4-4-2";"85.091";"1:0";"Freundschaftsspiele";"england"
"17";NA;"Mi. 15.08.2012";"21:00";"A";"";"Italien";"4-2-3-1";"15.000";"1:2";"Freundschaftsspiele";"england"
"18";NA;"Mi. 14.11.2012";"20:30";"A";"";"Schweden";"4-2-3-1";"49.967";"4:2";"Freundschaftsspiele";"england"
"19";NA;"Mi. 06.02.2013";"20:30";"H";"";"Brasilien";"4-3-3 offensiv";"87.453";"2:1";"Freundschaftsspiele";"england"
"20";NA;"Mi. 29.05.2013";"21:00";"H";"";"Irland";"4-2-3-1";"80.126";"1:1";"Freundschaftsspiele";"england"
"21";NA;"So. 02.06.2013";"21:00";"A";"";"Brasilien";"4-3-3 offensiv";"66.015";"2:2";"Freundschaftsspiele";"england"
"22";NA;"Mi. 14.08.2013";"21:00";"H";"";"Schottland";"4-2-3-1";"80.485";"3:2";"Freundschaftsspiele";"england"
"23";NA;"Fr. 15.11.2013";"21:00";"H";"";"Chile";"4-2-3-1";"62.953";"0:2";"Freundschaftsspiele";"england"
"24";NA;"Di. 19.11.2013";"21:00";"H";"";"Deutschland";"4-2-3-1";"85.934";"0:1";"Freundschaftsspiele";"england"
"25";"Gruppe D";"So. 15.06.2014";"00:00";"H";"";"Italien";"4-2-3-1";"39.800";"1:2";"Weltmeisterschaft 2014";"england"
"26";"Gruppe D";"Do. 19.06.2014";"21:00";"A";"";"Uruguay";"4-2-3-1";"62.103";"2:1";"Weltmeisterschaft 2014";"england"
"27";"Gruppe D";"Di. 24.06.2014";"18:00";"A";"";"Costa Rica";"4-2-3-1";"57.823";"0:0";"Weltmeisterschaft 2014";"england"
"28";NA;"Mi. 05.03.2014";"21:00";"H";"";"Dänemark";"4-3-3 offensiv";"68.573";"1:0";"Freundschaftsspiele";"england"
"29";NA;"Fr. 30.05.2014";"21:00";"H";"";"Peru";"4-2-3-1";"83.578";"3:0";"Freundschaftsspiele";"england"
"30";NA;"Mi. 04.06.2014";"21:00";"H";"";"Ecuador";"4-2-3-1";"21.534";"2:2";"Freundschaftsspiele";"england"
"31";NA;"Sa. 07.06.2014";"22:45";"H";"";"Honduras";"4-4-2 doppel 6";"45.379";"0:0";"Freundschaftsspiele";"england"
"32";NA;"Mi. 03.09.2014";"21:00";"H";"";"Norwegen";"4-4-2";"40.181";"1:0";"Freundschaftsspiele";"england"
"33";NA;"Di. 18.11.2014";"21:00";"A";"";"Schottland";"4-3-3 defensiv";"49.526";"1:3";"Freundschaftsspiele";"england"
